experiment_id,method,config,n_clusters,noise_ratio,coverage,silhouette,calinski_harabasz,davies_bouldin,mortality_separation,rank_silhouette,rank_calinski,rank_davies,rank_coverage,rank_noise,rank_mortality_separation,selection_score
kmeans|n_clusters=5,kmeans,"{""n_clusters"": 5}",5.0,0.0,1.0,0.1122858544691944,323.94579790287315,2.301043408126982,0.14454871483919335,0.6111111111111112,1.0,0.5555555555555556,0.5277777777777778,0.5277777777777778,0.8888888888888888,0.6851851851851851
birch|n_clusters=6,birch,"{""n_clusters"": 6}",6.0,0.0,1.0,0.24287831932670778,299.1285453186223,1.4802357338805727,0.11213727289354886,0.8888888888888888,0.7222222222222222,0.9444444444444444,0.5277777777777778,0.5277777777777778,0.4444444444444444,0.6759259259259259
kmeans|n_clusters=7,kmeans,"{""n_clusters"": 7}",7.0,0.0,1.0,0.08651403922457822,308.16720837239075,2.186809731533126,0.14516699023135907,0.4444444444444444,0.8888888888888888,0.6666666666666666,0.5277777777777778,0.5277777777777778,0.9444444444444444,0.6666666666666666
birch|n_clusters=7,birch,"{""n_clusters"": 7}",7.0,0.0,1.0,0.24625249885641506,282.4473296867748,1.4052602027505325,0.11388816559628419,0.9444444444444444,0.4444444444444444,1.0,0.5277777777777778,0.5277777777777778,0.5,0.6574074074074073
birch|n_clusters=8,birch,"{""n_clusters"": 8}",8.0,0.0,1.0,0.13239407228124092,291.15124235200284,1.6336862307337847,0.12520432917095975,0.7222222222222222,0.6111111111111112,0.8888888888888888,0.5277777777777778,0.5277777777777778,0.6666666666666666,0.6574074074074073
kmeans|n_clusters=8,kmeans,"{""n_clusters"": 8}",8.0,0.0,1.0,0.06723503380843109,306.8456187894131,2.0327404419174755,0.127076805644461,0.3888888888888889,0.8333333333333334,0.7222222222222222,0.5277777777777778,0.5277777777777778,0.7777777777777778,0.6296296296296297
birch|n_clusters=5,birch,"{""n_clusters"": 5}",5.0,0.0,1.0,0.23927722087981645,291.8036535101425,1.759563547141429,0.09808470145332462,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.5277777777777778,0.5277777777777778,0.2777777777777778,0.611111111111111
kmeans|n_clusters=4,kmeans,"{""n_clusters"": 4}",4.0,0.0,1.0,0.059784731264769984,313.8549466197194,2.8888492451595567,0.14594450715622362,0.2222222222222222,0.9444444444444444,0.4444444444444444,0.5277777777777778,0.5277777777777778,1.0,0.611111111111111
birch|n_clusters=4,birch,"{""n_clusters"": 4}",4.0,0.0,1.0,0.23079166974067503,299.4152575802646,2.0132628807187345,0.09728247363883444,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5277777777777778,0.5277777777777778,0.16666666666666666,0.5925925925925926
birch|n_clusters=3,birch,"{""n_clusters"": 3}",3.0,0.0,1.0,0.25074908520895156,285.69075542389504,2.1949398558105964,0.10047428990978549,1.0,0.5,0.6111111111111112,0.5277777777777778,0.5277777777777778,0.3333333333333333,0.5833333333333334
kmeans|n_clusters=6,kmeans,"{""n_clusters"": 6}",6.0,0.0,1.0,0.06551338996202334,286.702981884606,2.39199163443923,0.1078932291595319,0.3333333333333333,0.5555555555555556,0.5,0.5277777777777778,0.5277777777777778,0.3888888888888889,0.47222222222222215
gmm|n_clusters=6,gmm,"{""n_clusters"": 6}",6.0,0.0,1.0,0.053205282769237666,168.11184667204077,3.3354660480354883,0.1311608321615134,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5277777777777778,0.5277777777777778,0.8333333333333334,0.425925925925926
kmeans|n_clusters=3,kmeans,"{""n_clusters"": 3}",3.0,0.0,1.0,0.11069553351626171,270.2170980360355,3.160322848306521,0.07965266839467218,0.5555555555555556,0.3888888888888889,0.3888888888888889,0.5277777777777778,0.5277777777777778,0.05555555555555555,0.4074074074074074
gmm|n_clusters=3,gmm,"{""n_clusters"": 3}",3.0,0.0,1.0,0.12472260343650655,237.46998340609835,3.3883001360281852,0.08422431458460775,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.5277777777777778,0.5277777777777778,0.1111111111111111,0.39814814814814814
gmm|n_clusters=4,gmm,"{""n_clusters"": 4}",4.0,0.0,1.0,0.092454626764937,213.05527432116074,3.358267722996364,0.09785618203161746,0.5,0.2777777777777778,0.2777777777777778,0.5277777777777778,0.5277777777777778,0.2222222222222222,0.3888888888888889
gmm|n_clusters=5,gmm,"{""n_clusters"": 5}",5.0,0.0,1.0,0.0630423752559577,184.50026727614534,3.444737514818192,0.11965443738986055,0.2777777777777778,0.2222222222222222,0.16666666666666666,0.5277777777777778,0.5277777777777778,0.5555555555555556,0.3796296296296296
gmm|n_clusters=8,gmm,"{""n_clusters"": 8}",8.0,0.0,1.0,-0.004275850776935139,162.0884069184403,3.5102053854900426,0.1203101753294379,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.5277777777777778,0.5277777777777778,0.6111111111111112,0.3333333333333333
gmm|n_clusters=7,gmm,"{""n_clusters"": 7}",7.0,0.0,1.0,-0.01808265379938928,153.64993700041404,4.2616424728377025,0.12650891296903877,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.5277777777777778,0.5277777777777778,0.7222222222222222,0.3240740740740741
