feature,mean_abs_contribution,mean_signed_contribution
apsiii,0.8862208,-0.52974516
admission_age,0.41192332,-0.15590732
gcs_motor,0.26783323,-0.094386436
gcs_verbal,0.24164954,-0.08183097
gcs_eyes,0.23432703,-0.07820645
bun_min,0.20544612,-0.071744
hematocrit_max,0.17015338,-0.047152624
glucose_min,0.16877307,-0.045463525
resp_rate_min,0.1606427,-0.044177815
admission_type_2,0.15400462,-0.06833541
urineoutput,0.14370413,-0.05783224
wbc_min,0.13932505,-0.029188149
heart_rate_min,0.11760422,-0.036181517
sodium_max,0.11608382,-0.0429995
temperature_max,0.091721356,-0.01949872
resp_rate_max,0.08947412,-0.02400698
glucose_max,0.088126116,-0.002313659
heart_rate_max,0.08412321,-0.02266379
apsiii_prob,0.07910292,-0.04994676
gcs_unable_0,0.07886645,-0.017974691
resp_rate_score,0.073707186,-0.009098497
mbp_score,0.07247612,0.0070776287
ethnicity_1,0.06613179,-0.0077271913
uo_score,0.065235004,-0.021811705
creatinine_max,0.06268005,0.0129042035
hematocrit_min,0.058099363,-0.0050333547
mbp_min,0.04697881,-0.017254833
marital_status_3,0.04548292,-0.008110679
admission_location_1,0.04153632,-0.0127754
admission_type_4,0.04121512,-0.01175102
sodium_min,0.038859908,-0.009548715
wbc_max,0.037873685,-0.0051326305
sodium_score,0.03574796,-0.011926704
bun_max,0.03277971,-0.015863359
creatinine_min,0.03276707,-0.0019970278
mbp_max,0.031021776,-0.013614986
temperature_min,0.02918073,-0.010665724
gcs_score,0.028183041,0.012969142
sepsis3,0.027906466,-0.008711701
ethnicity_2,0.021819275,-0.0014833962
admission_type_0,0.020906432,-0.0035659238
admission_location_4,0.016014116,-0.004572327
marital_status_1,0.01426033,-0.0030073451
gcs_unable_1,0.013446407,-0.00352061
creatinine_score,0.011655895,0.0028396063
admission_location_0,0.010383409,-0.0018550291
gender_0,0.009525992,-0.00129303
ethnicity_4,0.0065389383,-0.0014167216
hr_score,0.0038617076,-0.0005540341
admission_location_5,0.003394209,-0.0011042964
bun_score,0.0030732183,-0.0013306148
admission_type_3,0.0028656758,-0.00023653857
admission_type_5,0.0028585438,-0.00036643518
admission_location_2,0.0025375113,-0.0005017403
temp_score,0.0024229272,-0.0004139292
admission_location_7,0.00228801,-0.00042718236
wbc_score,0.0022833252,-0.0006102992
marital_status_4,0.0021350805,-0.00057104364
glucose_score,0.0020362497,3.9207247e-05
ethnicity_5,0.0015887613,-0.00048552337
gender_1,0.0015703364,-0.00014767105
marital_status_0,0.0015308884,-0.00029523094
marital_status_2,0.0014086956,-0.00013779278
admission_type_1,0.0009467951,-0.0004746537
ethnicity_3,0.00029568977,-7.960632e-05
admission_location_6,0.00017948357,-2.7746485e-06
hematocrit_score,0.00015073939,1.12816565e-07
ethnicity_0,0.0,0.0
admission_type_7,0.0,0.0
admission_type_6,0.0,0.0
admission_type_8,0.0,0.0
admission_location_9,0.0,0.0
admission_location_8,0.0,0.0
admission_location_3,0.0,0.0
admission_location_10,0.0,0.0
