cluster,direction,variable,delta_vs_global
0,high,gcs_score,2.763859536905006
0,high,apsiii_prob,2.144993391709833
0,high,apsiii,1.982553900297311
0,high,sepsis3,0.6510926714256696
0,high,temp_score,0.3895499879252959
0,low,gcs_motor,-2.136176034085056
0,low,gcs_eyes,-1.7168273137598449
0,low,gcs_verbal,-1.3539157236555737
0,low,mbp_min,-0.3091389133876137
0,low,temperature_min,-0.3088122310220898
1,high,temp_score,0.560352753780829
1,high,mbp_score,0.3287582877930484
1,high,glucose_score,0.26226216662181673
1,high,wbc_max,0.24240731669278498
1,high,uo_score,0.20656057938699496
1,low,gcs_motor,-2.3475653646363175
1,low,gcs_eyes,-1.872658721419069
1,low,gcs_verbal,-1.8585267471476987
1,low,temperature_min,-0.4966236061343809
1,low,gcs_score,-0.4793913871805573
2,high,resp_rate_score,0.45348090669491825
2,high,gcs_motor,0.39717582621148373
2,high,gcs_verbal,0.35876569261943314
2,high,gcs_eyes,0.33899082050747964
2,high,resp_rate_max,0.09213673589373372
2,low,gcs_score,-0.3054882583073899
2,low,glucose_max,-0.28145376511794984
2,low,apsiii_prob,-0.24896033869233267
2,low,glucose_score,-0.22537743951762412
2,low,apsiii,-0.22080202947787803
3,high,temperature_max,0.3235246872171414
3,high,gcs_motor,0.3222494413073083
3,high,heart_rate_max,0.21899424015657057
3,high,hr_score,0.20892242814250708
3,high,heart_rate_min,0.19024477233604375
3,low,resp_rate_score,-1.2071658112627504
3,low,resp_rate_max,-0.4330560150534901
3,low,apsiii,-0.34983651753138856
3,low,apsiii_prob,-0.30293216588443
3,low,admission_age,-0.23592195955141318
4,high,glucose_max,2.2026968613854203
4,high,glucose_score,1.533834263855675
4,high,glucose_min,1.266639196149382
4,high,sodium_score,0.6709006174564582
4,high,bun_max,0.5059235416548983
4,low,sodium_min,-0.5549435014283429
4,low,gcs_score,-0.19988091507193564
4,low,uo_score,-0.0678361793180095
4,low,temp_score,-0.06450301053279706
4,low,mbp_score,-0.056520800189860256
