cluster,cluster_label,severity_rank,variable,variable_type,prototype,global_reference,delta_vs_global,z_score_vs_global,tlp_color,tlp_polarity,tlp_color_basis,tlp_color_hex,atlp_darkening,atlp_color_hex,uncertainty,confidence
0,cluster_0,1,admission_location,categorical,0,0,-0.0015835397243603722,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.5325908196707427,medium
0,cluster_0,1,admission_type,categorical,0,0,0.00540651020740246,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.6582160985521225,medium
0,cluster_0,1,ethnicity,categorical,0,0,-0.05698723236654024,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.6541236108260383,medium
0,cluster_0,1,gcs_unable,categorical,0,0,0.0899930832071486,,yellow,categorical_context,mode_entropy,#ffff00,pure,#ffff00,0.0,high
0,cluster_0,1,gender,categorical,0,0,0.013321028420497538,,yellow,categorical_context,mode_entropy,#ffff00,dark,#c85f00,0.9850323279283728,low
0,cluster_0,1,marital_status,categorical,0,0,-0.02328384905814118,,yellow,categorical_context,mode_entropy,#ffff00,mid,#f0bc00,0.8826987976464714,medium
0,cluster_0,1,admission_age,numeric,69.05071599,66.69741432,2.3533016700000076,0.239234362947967,yellow,higher_worse,clinical_threshold,#ffff00,pure,#ffff00,0.24121579685422506,high
0,cluster_0,1,apsiii,numeric,86.0,39.0,47.0,1.845839870840415,red,higher_worse,clinical_threshold,#ff0000,pure,#ff0000,0.25074614313951765,high
0,cluster_0,1,apsiii_prob,numeric,0.408144799,0.069599355,0.338545444,1.8940532364274874,red,higher_worse,clinical_threshold,#ff0000,mid,#c80000,0.4852552151521602,medium
0,cluster_0,1,bun_max,numeric,24.0,19.0,5.0,-0.09456925966918117,green,higher_worse,clinical_threshold,#00ff00,mid,#009600,0.7923163580748585,medium
0,cluster_0,1,creatinine_max,numeric,1.2,1.0,0.19999999999999996,-0.15254893475941242,green,higher_worse,clinical_threshold,#00ff00,dark,#005a00,0.9367927619633388,low
