cluster,direction,variable,delta_vs_global
0,high,temp_score,0.28071826566372876
0,high,hematocrit_score,0.2689807961853203
0,high,mbp_score,0.13592809689714958
0,high,admission_age,0.09862133401809453
0,high,bun_score,0.0626599509220917
0,low,gcs_score,-0.45023215489503515
0,low,apsiii_prob,-0.24950950926308357
0,low,apsiii,-0.19913831037666546
0,low,wbc_score,-0.15664809663514298
0,low,hr_score,-0.09773776202695705
1,high,resp_rate_score,0.041464256071494746
1,high,admission_age,-0.04679105217213175
1,high,sodium_score,-0.06356184764326056
1,high,hematocrit_score,-0.06460532547497559
1,high,hr_score,-0.0800243038903073
1,low,apsiii,-0.3713678217976348
1,low,apsiii_prob,-0.3577786296328472
1,low,temp_score,-0.332626305187171
1,low,wbc_score,-0.31433844197869343
1,low,gcs_score,-0.2570914488041732
2,high,apsiii,1.0836420193399365
2,high,apsiii_prob,1.0824946785016176
2,high,gcs_score,0.9587966281222015
2,high,wbc_score,0.9092783175734481
2,high,temp_score,0.6640082731489735
2,low,resp_rate_score,-0.08520829805973919
2,low,hematocrit_score,-0.014251263386667525
2,low,admission_age,0.05391700840926415
2,low,sodium_score,0.1545451134083283
2,low,uo_score,0.25185285198248164
