variable,metodo,q1,q3,iqr,limite_inferior,limite_superior,n_outliers,porcentaje_outliers
apsiii_prob,IQR,0.044554694,0.126615606,0.08206091199999999,-0.07853667399999997,0.24970697399999997,6634,12.40162264221487
creatinine_max,IQR,0.8,1.4,0.5999999999999999,-0.09999999999999976,2.3,5853,10.941618529527227
creatinine_min,IQR,0.7,1.2,0.5,-0.050000000000000044,1.95,5586,10.442487802142336
bun_max,IQR,14.0,30.0,16.0,-10.0,54.0,4572,8.546912680163759
bun_min,IQR,11.0,25.0,14.0,-10.0,46.0,4472,8.359972332828594
glucose_max,IQR,127.0,204.0,77.0,11.5,319.5,3573,6.6793786102854575
temperature_min,IQR,36.11,36.67,0.5600000000000023,35.269999999999996,37.510000000000005,3532,6.60273306787804
temperature_max,IQR,36.94,37.61,0.6700000000000017,35.934999999999995,38.615,3478,6.50178528031705
apsiii,IQR,29.0,53.0,24.0,-7.0,89.0,2862,5.350232740732432
sodium_min,IQR,135.0,140.0,5.0,127.5,147.5,2560,4.785672891780233
glucose_min,IQR,87.0,122.0,35.0,34.5,174.5,2462,4.602471351391771
mbp_min,IQR,53.0,68.0,15.0,30.5,90.5,2292,4.28467276092199
sodium_max,IQR,137.0,142.0,5.0,129.5,149.5,2086,3.8995756454115496
mbp_max,IQR,91.0,114.0,23.0,56.5,148.5,2081,3.890228628044791
wbc_max,IQR,8.8,16.7,7.899999999999999,-3.049999999999997,28.549999999999997,2019,3.7743256126969884
wbc_min,IQR,6.8,12.4,5.6000000000000005,-1.6000000000000005,20.8,2005,3.7481539640700654
urineoutput,IQR,965.0,2335.0,1370.0,-1090.0,4390.0,1859,3.4752210569607236
resp_rate_min,IQR,10.0,14.0,4.0,4.0,20.0,1359,2.540519320284897
resp_rate_max,IQR,23.0,31.0,8.0,11.0,43.0,1206,2.254500588862094
heart_rate_min,IQR,60.0,79.0,19.0,31.5,107.5,1055,1.9722206643859943
heart_rate_max,IQR,88.0,114.0,26.0,49.0,153.0,967,1.8077131587310489
admission_age,IQR,54.46407587,78.15055277,23.686476900000002,18.93436052,113.68026812000001,82,0.15329108481483558
