variable,metodo,media,desviacion_std,umbral,n_outliers,porcentaje_outliers
apsiii_prob,zscore,0.12485123447245436,0.14957001159158886,3.0,1680,3.140597835230778
bun_min,zscore,21.92642027928888,18.37427463224154,3.0,1264,2.36292599031649
bun_max,zscore,26.02407791673677,21.40312744138345,3.0,1220,2.2806722374890174
creatinine_min,zscore,1.2023187322587228,1.2542875446617903,3.0,1204,2.250761781915391
creatinine_max,zscore,1.4410681335876094,1.580267564423195,3.0,1177,2.200287888134896
sodium_min,zscore,136.98336230908717,5.02354285436823,3.0,904,1.6899407399098947
apsiii,zscore,44.24849980371263,22.619242793405373,3.0,888,1.6600302843362682
glucose_max,zscore,183.2857721719159,101.97601539222269,3.0,886,1.656291477389565
sodium_max,zscore,139.7415362757744,4.69046454509422,3.0,872,1.630119828762642
mbp_max,zscore,105.34493477037508,24.775197253211918,3.0,861,1.6095563905557737
mbp_min,zscore,60.20869392738322,13.7898695565396,3.0,828,1.547866075935169
temperature_min,zscore,36.30389361592946,0.7013091750556202,3.0,823,1.538519058568411
glucose_min,zscore,108.01466829662702,35.12464845930019,3.0,818,1.5291720412016525
temperature_max,zscore,37.333050414433366,0.7072369313251033,3.0,781,1.4600041126876413
urineoutput,zscore,1785.3283835018312,1216.8347791404099,3.0,761,1.4226160432206083
resp_rate_max,zscore,27.540157297928943,6.366407801349428,3.0,693,1.2954966070326959
resp_rate_min,zscore,12.323807699874301,3.5506289370070454,3.0,449,0.8393621595348923
heart_rate_max,zscore,102.4733430355275,20.452588283350188,3.0,426,0.7963658796478044
wbc_min,zscore,10.345568782300363,7.839200596014733,3.0,359,0.6711158469332436
heart_rate_min,zscore,69.91911385583435,15.140833567996735,3.0,353,0.6598994260931337
wbc_max,zscore,13.924074479950031,11.36354727910456,3.0,304,0.5682986558989026
admission_age,zscore,64.91234054353374,17.298415643434797,3.0,0,0.0
